PC_ID,PC_SMILES,Alc_ID,Alc_SMILES,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,14
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,4
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,18
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,11
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,78
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,90
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,13
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,53
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,86
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,5
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,45
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,48
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,2
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,8
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,11
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,63
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,9
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,18
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,86
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,31
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,23
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,0
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,4
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,29
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,17
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,50
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,53
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,12
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,3
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,24
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,13
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,14
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,30
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,11
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,18
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,3
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,1
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,4
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,39
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,73
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,3
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,40
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,30
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,2
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,3
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,7
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,51
