PC_ID,PC_SMILES,Alc_ID,Alc_SMILES,Yield
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,72
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,7
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,24
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,50
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,1
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,33
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,25
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,27
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,2
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,4
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,1
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,2
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,2
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,1
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,1
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,4
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,3
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,7
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,5
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,37
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,2
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,5
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,1
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,7
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,10
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,3
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,1
PC9,O=C1C2=C(C=CC=C2)OC3=CC=CC=C31,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,0
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,1
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,0
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,0
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,6
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,3
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,2
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,1
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,2
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,0
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,1
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,1
PC10,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,0
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,0
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,3
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,1
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,7
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,36
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,82
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,3
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,19
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,61
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,2
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,31
PC11,O=C1C2=C(C=CC=C2)CCC3=C1C=CC=C3,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,36
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,1
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,1
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,4
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,40
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,72
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,7
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,3
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,43
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,1
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,0
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,0
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,36
PC12,O=C(C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,54
PC13,O=C(C1=CC(C=CC=C2)=C2C=C1)C3=CC=CC=C3,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,0
PC13,O=C(C1=CC(C=CC=C2)=C2C=C1)C3=CC=CC=C3,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,0
PC13,O=C(C1=CC(C=CC=C2)=C2C=C1)C3=CC=CC=C3,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0
PC13,O=C(C1=CC(C=CC=C2)=C2C=C1)C3=CC=CC=C3,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,0
PC13,O=C(C1=CC(C=CC=C2)=C2C=C1)C3=CC=CC=C3,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,0
PC13,O=C(C1=CC(C=CC=C2)=C2C=C1)C3=CC=CC=C3,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,0
