PC_ID,PC_SMILES,RDKit_PC_0,RDKit_PC_1,RDKit_PC_2,RDKit_PC_3,RDKit_PC_4,RDKit_PC_5,RDKit_PC_6,Alc_ID,Alc_SMILES,RDKit_Alc_0,RDKit_Alc_1,RDKit_Alc_2,RDKit_Alc_3,RDKit_Alc_4,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-3.9325327403319763,-1.9758498408634246,13.050802665313489,0.7547572677561092,-1.6492192307816502,14
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,8.561326757342208,-2.3749881150028402,-1.0851621491087649,-3.1417703394749976,-4.047160963376578,4
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0.7337558426861042,12.623610026628446,0.2757324841086324,0.19888954653614513,0.7063465756646664,18
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,6.8554706665320495,-1.2375134412637838,-0.6766488156801111,-4.3792818225529695,-3.742666640594492,11
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,1.1150374346656877,-2.9393432280975573,-1.0656851229081565,-1.4976395404529805,-2.2686524536806063,78
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-5.697542417627594,-2.4414248759004997,-1.0817003048202283,-0.007839460329959289,-0.16040799498958433,90
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-6.216566187645362,-2.3160578219846806,-1.2725365819702394,-0.8110883718435518,0.3233673348047168,13
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-3.4090105567491724,-1.3641602174775425,-1.7081517739562218,-4.969908996941525,2.168676863020629,53
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-10.016780159938795,-0.963029103068828,-1.195529485395622,-3.1915912384655587,4.225790284109075,86
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,4.030498250695565,-2.7435804020080075,-1.27723030135882,-2.9129498137804313,0.715597813834319,-2.968825999510223,1.6618826414798409,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,11.936778368695343,-8.284666103894637,0.9481706572396412,2.7484626224446624,7.046378544213229,5
