PC_ID,PC_SMILES,PC_MaxEStateIndex,PC_MinEStateIndex,PC_MaxAbsEStateIndex,PC_MinAbsEStateIndex,PC_qed,PC_MolWt,PC_HeavyAtomMolWt,PC_ExactMolWt,PC_NumValenceElectrons,PC_MaxPartialCharge,PC_MinPartialCharge,PC_MaxAbsPartialCharge,PC_MinAbsPartialCharge,PC_FpDensityMorgan1,PC_FpDensityMorgan2,PC_FpDensityMorgan3,PC_BCUT2D_MWHI,PC_BCUT2D_MWLOW,PC_BCUT2D_CHGHI,PC_BCUT2D_CHGLO,PC_BCUT2D_LOGPHI,PC_BCUT2D_LOGPLOW,PC_BCUT2D_MRHI,PC_BCUT2D_MRLOW,PC_BalabanJ,PC_BertzCT,PC_Chi0,PC_Chi0n,PC_Chi0v,PC_Chi1,PC_Chi1n,PC_Chi1v,PC_Chi2n,PC_Chi2v,PC_Chi3n,PC_Chi3v,PC_Chi4n,PC_Chi4v,PC_HallKierAlpha,PC_Ipc,PC_Kappa1,PC_Kappa2,PC_Kappa3,PC_LabuteASA,PC_PEOE_VSA1,PC_PEOE_VSA10,PC_PEOE_VSA11,PC_PEOE_VSA12,PC_PEOE_VSA14,PC_PEOE_VSA2,PC_PEOE_VSA4,PC_PEOE_VSA5,PC_PEOE_VSA6,PC_PEOE_VSA7,PC_PEOE_VSA8,PC_PEOE_VSA9,PC_SMR_VSA1,PC_SMR_VSA10,PC_SMR_VSA3,PC_SMR_VSA5,PC_SMR_VSA6,PC_SMR_VSA7,PC_SMR_VSA9,PC_SlogP_VSA1,PC_SlogP_VSA10,PC_SlogP_VSA11,PC_SlogP_VSA12,PC_SlogP_VSA2,PC_SlogP_VSA3,PC_SlogP_VSA5,PC_SlogP_VSA6,PC_SlogP_VSA7,PC_SlogP_VSA8,PC_TPSA,PC_EState_VSA1,PC_EState_VSA10,PC_EState_VSA2,PC_EState_VSA3,PC_EState_VSA4,PC_EState_VSA5,PC_EState_VSA6,PC_EState_VSA7,PC_EState_VSA8,PC_EState_VSA9,PC_VSA_EState1,PC_VSA_EState10,PC_VSA_EState2,PC_VSA_EState3,PC_VSA_EState4,PC_VSA_EState5,PC_VSA_EState6,PC_VSA_EState7,PC_VSA_EState8,PC_VSA_EState9,PC_FractionCSP3,PC_HeavyAtomCount,PC_NHOHCount,PC_NOCount,PC_NumAliphaticCarbocycles,PC_NumAliphaticHeterocycles,PC_NumAliphaticRings,PC_NumAromaticCarbocycles,PC_NumAromaticHeterocycles,PC_NumAromaticRings,PC_NumHAcceptors,PC_NumHDonors,PC_NumHeteroatoms,PC_NumRotatableBonds,PC_RingCount,PC_MolLogP,PC_MolMR,PC_fr_Ar_N,PC_fr_Ar_NH,PC_fr_C_O,PC_fr_C_O_noCOO,PC_fr_NH0,PC_fr_NH1,PC_fr_Nhpyrrole,PC_fr_alkyl_halide,PC_fr_aniline,PC_fr_aryl_methyl,PC_fr_benzene,PC_fr_bicyclic,PC_fr_ether,PC_fr_halogen,PC_fr_ketone,PC_fr_methoxy,PC_fr_para_hydroxylation,PC_fr_pyridine,Alc_ID,Alc_SMILES,Alc_MaxEStateIndex,Alc_MinEStateIndex,Alc_MaxAbsEStateIndex,Alc_MinAbsEStateIndex,Alc_qed,Alc_MolWt,Alc_HeavyAtomMolWt,Alc_ExactMolWt,Alc_NumValenceElectrons,Alc_MaxPartialCharge,Alc_MinPartialCharge,Alc_MaxAbsPartialCharge,Alc_MinAbsPartialCharge,Alc_FpDensityMorgan1,Alc_FpDensityMorgan2,Alc_FpDensityMorgan3,Alc_BCUT2D_MWHI,Alc_BCUT2D_MWLOW,Alc_BCUT2D_CHGHI,Alc_BCUT2D_CHGLO,Alc_BCUT2D_LOGPHI,Alc_BCUT2D_LOGPLOW,Alc_BCUT2D_MRHI,Alc_BCUT2D_MRLOW,Alc_BalabanJ,Alc_BertzCT,Alc_Chi0,Alc_Chi0n,Alc_Chi0v,Alc_Chi1,Alc_Chi1n,Alc_Chi1v,Alc_Chi2n,Alc_Chi2v,Alc_Chi3n,Alc_Chi3v,Alc_Chi4n,Alc_Chi4v,Alc_HallKierAlpha,Alc_Ipc,Alc_Kappa1,Alc_Kappa2,Alc_Kappa3,Alc_LabuteASA,Alc_PEOE_VSA1,Alc_PEOE_VSA10,Alc_PEOE_VSA11,Alc_PEOE_VSA12,Alc_PEOE_VSA14,Alc_PEOE_VSA3,Alc_PEOE_VSA5,Alc_PEOE_VSA6,Alc_PEOE_VSA7,Alc_PEOE_VSA8,Alc_PEOE_VSA9,Alc_SMR_VSA1,Alc_SMR_VSA10,Alc_SMR_VSA5,Alc_SMR_VSA6,Alc_SMR_VSA7,Alc_SMR_VSA9,Alc_SlogP_VSA1,Alc_SlogP_VSA11,Alc_SlogP_VSA12,Alc_SlogP_VSA2,Alc_SlogP_VSA3,Alc_SlogP_VSA4,Alc_SlogP_VSA5,Alc_SlogP_VSA6,Alc_SlogP_VSA8,Alc_TPSA,Alc_EState_VSA1,Alc_EState_VSA10,Alc_EState_VSA2,Alc_EState_VSA3,Alc_EState_VSA4,Alc_EState_VSA5,Alc_EState_VSA6,Alc_EState_VSA7,Alc_EState_VSA8,Alc_EState_VSA9,Alc_VSA_EState1,Alc_VSA_EState10,Alc_VSA_EState2,Alc_VSA_EState3,Alc_VSA_EState4,Alc_VSA_EState5,Alc_VSA_EState6,Alc_VSA_EState7,Alc_VSA_EState8,Alc_VSA_EState9,Alc_FractionCSP3,Alc_HeavyAtomCount,Alc_NHOHCount,Alc_NOCount,Alc_NumAliphaticHeterocycles,Alc_NumAliphaticRings,Alc_NumAromaticCarbocycles,Alc_NumAromaticHeterocycles,Alc_NumAromaticRings,Alc_NumHAcceptors,Alc_NumHDonors,Alc_NumHeteroatoms,Alc_NumRotatableBonds,Alc_RingCount,Alc_MolLogP,Alc_MolMR,Alc_fr_Al_OH,Alc_fr_Al_OH_noTert,Alc_fr_C_O,Alc_fr_C_O_noCOO,Alc_fr_aryl_methyl,Alc_fr_benzene,Alc_fr_bicyclic,Alc_fr_ester,Alc_fr_ether,Alc_fr_methoxy,Alc_fr_thiophene,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,12.417962962962964,-1.6944367283950619,12.417962962962964,0.18335648148148165,0.6420668799555187,238.36199999999997,224.24999999999994,238.08139159799998,84,0.19232198585901034,-0.2886264571209127,0.2886264571209127,0.19232198585901034,0.7647058823529411,1.1764705882352942,1.6470588235294117,28.331785373045232,10.024134718045946,2.3706645414886993,-2.3174318117790387,2.1898009598952206,-2.591684231276457,7.021872963437379,0.10352437455598235,2.3793325707946518,562.3238142311482,12.043605595440512,10.02705044398087,11.02705044398087,8.121027033568037,5.858824683611183,8.858824683611182,5.045291709197352,9.372641978386977,3.690069476208283,7.255453617110493,2.742420743752315,5.798791643215924,-1.6731168831168826,10412.754946507801,10.478916736694815,3.407443762843578,1.338655913698618,102.12000186064249,0.0,8.073872300533118,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,61.62495925505505,10.373451291374916,11.126902983393991,0.0,4.794537184071822,24.230568538272976,0.0,13.094022707362173,0.0,59.65783953108687,0.0,10.373451291374916,0.0,0.0,0.0,13.857117246898056,0.0,15.921440167465814,48.53093654769288,13.094022707362173,0.0,17.07,8.073872300533118,4.794537184071822,5.783244946364939,0.0,11.126902983393991,10.373451291374916,0.0,36.39820241076966,25.226756844285394,0.0,0.0,0.0,12.417962962962964,2.53462962962963,1.8108641975308646,0.18335648148148165,16.142253086419753,0.0,4.633148148148148,-1.6944367283950619,0.13333333333333333,17,0,1,0,1,1,2,0,2,1,0,2,0,3,2.0536,73.06650000000003,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,11.300882193186936,-0.5749102418745282,11.300882193186936,0.3712044724021635,0.8555190559485526,256.30099999999993,240.17299999999994,256.10994437200003,98,0.33734179298009886,-0.4654175212523233,0.4654175212523233,0.33734179298009886,1.105263157894737,1.736842105263158,2.3157894736842106,16.523293378425766,10.003236877957912,2.100617014517665,-2.111125286046951,2.185198707818772,-2.040609496672206,5.887593188002341,0.06002383438700396,2.073681425115431,531.6803207544581,13.664925939000156,10.74431964951049,10.74431964951049,9.202708600407233,6.107223093895716,6.107223093895716,4.31911057255133,4.31911057255133,2.9884308157697754,2.9884308157697754,1.9144073831934183,1.9144073831934183,-2.1299999999999994,25130.041075738343,13.30515171594639,6.15877056967385,3.421837675345536,112.01756686489409,9.843390348640755,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,42.46456947923127,23.259637120317212,6.4208216229260096,18.777215420722833,14.637927532712578,5.969305287951849,12.524788010674312,7.109797541277533,71.28765809124549,0.0,0.0,0.0,0.0,18.18563022407009,11.157684576726059,0.0,27.58885804691111,54.59730361615449,0.0,46.53,6.103966387748303,9.901064578912528,5.969305287951849,11.984273114623004,11.126902983393991,7.109797541277533,24.26546827384644,30.33183534230805,4.736862953800049,0.0,4.63082306110129,0.0,11.300882193186936,10.144462317334341,2.3488071092634595,-0.3712044724021635,16.619447777784718,-0.020931201184178128,0.0,1.347713214915596,0.1875,19,1,3,0,0,2,0,2,3,1,3,4,2,2.7493000000000007,72.88730000000004,1,1,1,1,0,2,0,1,1,1,0,14
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,12.417962962962964,-1.6944367283950619,12.417962962962964,0.18335648148148165,0.6420668799555187,238.36199999999997,224.24999999999994,238.08139159799998,84,0.19232198585901034,-0.2886264571209127,0.2886264571209127,0.19232198585901034,0.7647058823529411,1.1764705882352942,1.6470588235294117,28.331785373045232,10.024134718045946,2.3706645414886993,-2.3174318117790387,2.1898009598952206,-2.591684231276457,7.021872963437379,0.10352437455598235,2.3793325707946518,562.3238142311482,12.043605595440512,10.02705044398087,11.02705044398087,8.121027033568037,5.858824683611183,8.858824683611182,5.045291709197352,9.372641978386977,3.690069476208283,7.255453617110493,2.742420743752315,5.798791643215924,-1.6731168831168826,10412.754946507801,10.478916736694815,3.407443762843578,1.338655913698618,102.12000186064249,0.0,8.073872300533118,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,61.62495925505505,10.373451291374916,11.126902983393991,0.0,4.794537184071822,24.230568538272976,0.0,13.094022707362173,0.0,59.65783953108687,0.0,10.373451291374916,0.0,0.0,0.0,13.857117246898056,0.0,15.921440167465814,48.53093654769288,13.094022707362173,0.0,17.07,8.073872300533118,4.794537184071822,5.783244946364939,0.0,11.126902983393991,10.373451291374916,0.0,36.39820241076966,25.226756844285394,0.0,0.0,0.0,12.417962962962964,2.53462962962963,1.8108641975308646,0.18335648148148165,16.142253086419753,0.0,4.633148148148148,-1.6944367283950619,0.13333333333333333,17,0,1,0,1,1,2,0,2,1,0,2,0,3,2.0536,73.06650000000003,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,9.973947467876041,-0.40870370370370424,9.973947467876041,0.40870370370370424,0.8035051734358308,198.265,184.15299999999996,198.104465068,76,0.08298804952950145,-0.3880720436533714,0.3880720436533714,0.08298804952950145,0.8,1.3333333333333333,1.9333333333333333,16.266076170609406,10.017292443134783,2.0630459693402803,-2.099774890735418,2.1679020868127488,-2.0051469961497723,5.216146633482743,0.17822792250631558,2.0784516078094564,394.1985815306015,10.510225400620904,8.50517333777239,8.50517333777239,7.360173345306137,5.13004291044503,5.13004291044503,3.6162040833489484,3.6162040833489484,2.4562220383138484,2.4562220383138484,1.6303928292672958,1.6303928292672958,-1.5999999999999996,4035.3008467528234,9.936265432098764,4.759877126654065,2.6729591836734703,90.01261530655025,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,60.6636706846161,11.126902983393991,6.4208216229260096,6.103966387748303,5.106527394840706,0.0,12.524788010674312,0.0,71.7905736680101,0.0,0.0,0.0,0.0,5.106527394840706,6.4208216229260096,0.0,17.230869371142294,60.6636706846161,0.0,20.23,6.103966387748303,5.106527394840706,0.0,6.4208216229260096,11.126902983393991,0.0,0.0,60.6636706846161,0.0,0.0,0.0,0.0,0.0,9.973947467876041,2.1344501133786853,0.0,19.795491307634165,0.2627777777777772,0.0,0.0,0.14285714285714285,15,1,1,0,0,2,0,2,1,1,1,3,2,2.9627000000000008,61.54780000000004,1,1,0,0,0,2,0,0,0,0,0,4
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,12.417962962962964,-1.6944367283950619,12.417962962962964,0.18335648148148165,0.6420668799555187,238.36199999999997,224.24999999999994,238.08139159799998,84,0.19232198585901034,-0.2886264571209127,0.2886264571209127,0.19232198585901034,0.7647058823529411,1.1764705882352942,1.6470588235294117,28.331785373045232,10.024134718045946,2.3706645414886993,-2.3174318117790387,2.1898009598952206,-2.591684231276457,7.021872963437379,0.10352437455598235,2.3793325707946518,562.3238142311482,12.043605595440512,10.02705044398087,11.02705044398087,8.121027033568037,5.858824683611183,8.858824683611182,5.045291709197352,9.372641978386977,3.690069476208283,7.255453617110493,2.742420743752315,5.798791643215924,-1.6731168831168826,10412.754946507801,10.478916736694815,3.407443762843578,1.338655913698618,102.12000186064249,0.0,8.073872300533118,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,61.62495925505505,10.373451291374916,11.126902983393991,0.0,4.794537184071822,24.230568538272976,0.0,13.094022707362173,0.0,59.65783953108687,0.0,10.373451291374916,0.0,0.0,0.0,13.857117246898056,0.0,15.921440167465814,48.53093654769288,13.094022707362173,0.0,17.07,8.073872300533118,4.794537184071822,5.783244946364939,0.0,11.126902983393991,10.373451291374916,0.0,36.39820241076966,25.226756844285394,0.0,0.0,0.0,12.417962962962964,2.53462962962963,1.8108641975308646,0.18335648148148165,16.142253086419753,0.0,4.633148148148148,-1.6944367283950619,0.13333333333333333,17,0,1,0,1,1,2,0,2,1,0,2,0,3,2.0536,73.06650000000003,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,10.335407533383725,-0.46090429999160243,10.335407533383725,0.46090429999160243,0.7351163069128532,274.363,256.21899999999994,274.135765196,104,0.08298875307923671,-0.388072037808165,0.388072037808165,0.08298875307923671,0.6190476190476191,1.1428571428571428,1.7619047619047619,16.266083292964606,9.982653573837602,2.0818451903734125,-2.1170537852257123,2.231560758845956,-2.009876154068321,5.629945446690994,0.17824227821530972,1.7483318000385286,672.0487817325015,14.493353063746348,11.814574414530895,11.814574414530895,10.326499840494922,7.2014101154909484,7.2014101154909484,5.193554352538573,5.193554352538573,3.674455551106933,3.674455551106933,2.483526521520132,2.483526521520132,-2.379999999999999,104293.42426850586,13.596094137037953,6.379998762558589,3.3882865583782404,125.06970951261428,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,84.92913895846256,22.253805966787983,6.4208216229260096,6.103966387748303,5.106527394840706,0.0,12.524788010674312,0.0,96.05604194185656,11.126902983393991,0.0,0.0,0.0,5.106527394840706,6.4208216229260096,0.0,17.230869371142294,84.92913895846256,11.126902983393991,20.23,6.103966387748303,5.106527394840706,0.0,6.4208216229260096,11.126902983393991,11.126902983393991,0.0,60.6636706846161,24.26546827384644,0.0,0.0,0.0,0.0,10.335407533383725,4.475491082490542,0.0,28.505636982933158,0.1834644011925748,0.0,0.0,0.1,21,1,1,0,0,3,0,3,1,1,1,4,3,4.629700000000004,86.98380000000003,1,1,0,0,0,3,0,0,0,0,0,18
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,12.417962962962964,-1.6944367283950619,12.417962962962964,0.18335648148148165,0.6420668799555187,238.36199999999997,224.24999999999994,238.08139159799998,84,0.19232198585901034,-0.2886264571209127,0.2886264571209127,0.19232198585901034,0.7647058823529411,1.1764705882352942,1.6470588235294117,28.331785373045232,10.024134718045946,2.3706645414886993,-2.3174318117790387,2.1898009598952206,-2.591684231276457,7.021872963437379,0.10352437455598235,2.3793325707946518,562.3238142311482,12.043605595440512,10.02705044398087,11.02705044398087,8.121027033568037,5.858824683611183,8.858824683611182,5.045291709197352,9.372641978386977,3.690069476208283,7.255453617110493,2.742420743752315,5.798791643215924,-1.6731168831168826,10412.754946507801,10.478916736694815,3.407443762843578,1.338655913698618,102.12000186064249,0.0,8.073872300533118,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,61.62495925505505,10.373451291374916,11.126902983393991,0.0,4.794537184071822,24.230568538272976,0.0,13.094022707362173,0.0,59.65783953108687,0.0,10.373451291374916,0.0,0.0,0.0,13.857117246898056,0.0,15.921440167465814,48.53093654769288,13.094022707362173,0.0,17.07,8.073872300533118,4.794537184071822,5.783244946364939,0.0,11.126902983393991,10.373451291374916,0.0,36.39820241076966,25.226756844285394,0.0,0.0,0.0,12.417962962962964,2.53462962962963,1.8108641975308646,0.18335648148148165,16.142253086419753,0.0,4.633148148148148,-1.6944367283950619,0.13333333333333333,17,0,1,0,1,1,2,0,2,1,0,2,0,3,2.0536,73.06650000000003,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,10.064839380196524,-0.41388888888888964,10.064839380196524,0.41388888888888964,0.827496933605173,212.29199999999997,196.16399999999996,212.120115132,82,0.0829883747658443,-0.38807204092055403,0.38807204092055403,0.0829883747658443,0.9375,1.5625,2.1875,16.266078389325447,10.006289195538882,2.069742142147314,-2.1072106640509842,2.1789660783789326,-2.009250363373895,5.250301887094522,0.17821400361845985,2.085070944860585,430.75194762320365,11.380468888623982,9.427823068582764,9.427823068582764,7.7540201954234895,5.54072651296799,5.54072651296799,4.116204083348947,4.116204083348947,2.7339998160916257,2.7339998160916257,1.7438068228410388,1.7438068228410388,-1.5999999999999996,5689.016293492532,10.902614268848035,4.950941945405614,2.7067723730180067,96.37755742094683,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,60.160755107851486,18.050640183084617,6.4208216229260096,6.103966387748303,5.106527394840706,0.0,19.448525210364934,0.0,71.28765809124549,0.0,0.0,0.0,0.0,5.106527394840706,6.4208216229260096,6.923737199690624,22.79432086283929,54.59730361615449,0.0,20.23,6.103966387748303,5.106527394840706,0.0,6.4208216229260096,11.126902983393991,5.563451491696996,0.0,61.52104081584511,0.0,0.0,0.0,0.0,0.0,10.064839380196524,3.3617492336440753,0.0,18.10113200218359,0.25664777021919793,2.048964947089947,0.0,0.2,16,1,1,0,0,2,0,2,1,1,1,3,2,3.2711200000000016,66.28480000000003,1,1,0,0,1,2,0,0,0,0,0,11
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,12.417962962962964,-1.6944367283950619,12.417962962962964,0.18335648148148165,0.6420668799555187,238.36199999999997,224.24999999999994,238.08139159799998,84,0.19232198585901034,-0.2886264571209127,0.2886264571209127,0.19232198585901034,0.7647058823529411,1.1764705882352942,1.6470588235294117,28.331785373045232,10.024134718045946,2.3706645414886993,-2.3174318117790387,2.1898009598952206,-2.591684231276457,7.021872963437379,0.10352437455598235,2.3793325707946518,562.3238142311482,12.043605595440512,10.02705044398087,11.02705044398087,8.121027033568037,5.858824683611183,8.858824683611182,5.045291709197352,9.372641978386977,3.690069476208283,7.255453617110493,2.742420743752315,5.798791643215924,-1.6731168831168826,10412.754946507801,10.478916736694815,3.407443762843578,1.338655913698618,102.12000186064249,0.0,8.073872300533118,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,61.62495925505505,10.373451291374916,11.126902983393991,0.0,4.794537184071822,24.230568538272976,0.0,13.094022707362173,0.0,59.65783953108687,0.0,10.373451291374916,0.0,0.0,0.0,13.857117246898056,0.0,15.921440167465814,48.53093654769288,13.094022707362173,0.0,17.07,8.073872300533118,4.794537184071822,5.783244946364939,0.0,11.126902983393991,10.373451291374916,0.0,36.39820241076966,25.226756844285394,0.0,0.0,0.0,12.417962962962964,2.53462962962963,1.8108641975308646,0.18335648148148165,16.142253086419753,0.0,4.633148148148148,-1.6944367283950619,0.13333333333333333,17,0,1,0,1,1,2,0,2,1,0,2,0,3,2.0536,73.06650000000003,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,10.096727135298565,-0.4691609977324269,10.096727135298565,0.4691609977324269,0.8713621378125769,228.29099999999997,212.16299999999995,228.115029752,88,0.1183810048644517,-0.4967681917897237,0.4967681917897237,0.1183810048644517,1.0,1.6470588235294117,2.235294117647059,16.465293963471616,10.014481763052645,2.0766339002525425,-2.1114630586776655,2.2033628169898027,-2.0103111679180383,5.291757736922201,0.17813111737507337,2.062926536206509,448.10785282653126,12.08757566981053,9.836071359046628,9.836071359046628,8.292024997884274,5.653098948663784,5.653098948663784,3.9786802197867686,3.9786802197867686,2.772451506641763,2.772451506641763,1.7812643014063039,1.7812643014063039,-1.7999999999999998,10090.555572179177,11.678585581466239,5.50509077963688,3.0789697570071675,101.49110265045373,9.843390348640755,5.749511833283905,0.0,0.0,0.0,0.0,0.0,42.46456947923127,23.259637120317212,6.4208216229260096,13.213763929025836,9.843390348640755,0.0,12.524788010674312,7.109797541277533,65.72420659954848,5.749511833283905,4.736862953800049,5.749511833283905,0.0,12.216324936118239,6.4208216229260096,0.0,17.230869371142294,54.59730361615449,0.0,29.46,6.103966387748303,5.106527394840706,0.0,6.4208216229260096,16.876414816677897,0.0,7.109797541277533,54.59730361615449,0.0,4.736862953800049,5.085560668137779,0.0,0.0,10.096727135298565,2.0467325155370792,0.8061676954732513,17.500864937598344,0.16295091647770144,0.0,1.6343294648106155,0.2,17,1,2,0,0,2,0,2,2,1,2,4,2,2.971300000000001,68.09980000000004,1,1,0,0,0,2,0,0,1,1,0,78
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,12.417962962962964,-1.6944367283950619,12.417962962962964,0.18335648148148165,0.6420668799555187,238.36199999999997,224.24999999999994,238.08139159799998,84,0.19232198585901034,-0.2886264571209127,0.2886264571209127,0.19232198585901034,0.7647058823529411,1.1764705882352942,1.6470588235294117,28.331785373045232,10.024134718045946,2.3706645414886993,-2.3174318117790387,2.1898009598952206,-2.591684231276457,7.021872963437379,0.10352437455598235,2.3793325707946518,562.3238142311482,12.043605595440512,10.02705044398087,11.02705044398087,8.121027033568037,5.858824683611183,8.858824683611182,5.045291709197352,9.372641978386977,3.690069476208283,7.255453617110493,2.742420743752315,5.798791643215924,-1.6731168831168826,10412.754946507801,10.478916736694815,3.407443762843578,1.338655913698618,102.12000186064249,0.0,8.073872300533118,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,61.62495925505505,10.373451291374916,11.126902983393991,0.0,4.794537184071822,24.230568538272976,0.0,13.094022707362173,0.0,59.65783953108687,0.0,10.373451291374916,0.0,0.0,0.0,13.857117246898056,0.0,15.921440167465814,48.53093654769288,13.094022707362173,0.0,17.07,8.073872300533118,4.794537184071822,5.783244946364939,0.0,11.126902983393991,10.373451291374916,0.0,36.39820241076966,25.226756844285394,0.0,0.0,0.0,12.417962962962964,2.53462962962963,1.8108641975308646,0.18335648148148165,16.142253086419753,0.0,4.633148148148148,-1.6944367283950619,0.13333333333333333,17,0,1,0,1,1,2,0,2,1,0,2,0,3,2.0536,73.06650000000003,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,10.261137566137567,-0.5535128495842787,10.261137566137567,0.5535128495842787,0.8956990875329504,258.31699999999995,240.17299999999994,258.12559443600003,100,0.16058453750747206,-0.4928699503057866,0.4928699503057866,0.16058453750747206,0.9473684210526315,1.631578947368421,2.263157894736842,16.507840676524992,10.009678695325208,2.1172434065020065,-2.139118621146542,2.3039729637253057,-2.023299718872896,5.433081291348095,0.17759935416267483,2.170628055604028,522.7721843403044,13.664925939000156,11.166969380320865,11.166969380320865,9.240713402868018,6.182138051026246,6.182138051026246,4.319941212142852,4.319941212142852,3.0642462362819742,3.0642462362819742,2.0152864579650367,2.0152864579650367,-2.0,25290.518080230475,13.432098765432098,6.25,3.263267429760666,112.96958999435721,14.580253302440804,0.0,11.49902366656781,0.0,0.0,0.0,0.0,36.39820241076966,23.259637120317212,6.4208216229260096,20.323561470303368,14.580253302440804,0.0,12.524788010674312,14.219595082555067,59.65783953108687,11.49902366656781,9.473725907600098,11.49902366656781,0.0,19.32612247739577,6.4208216229260096,0.0,17.230869371142294,48.53093654769288,0.0,38.69,6.103966387748303,5.106527394840706,0.0,17.919845289493818,11.126902983393991,0.0,14.219595082555067,48.53093654769288,0.0,9.473725907600098,10.423739523013062,0.0,0.0,10.261137566137567,1.922488845846981,1.296548878810784,15.3862476431497,0.0261727607709743,0.0,3.1836647822709327,0.25,19,1,3,0,0,2,0,2,3,1,3,5,2,2.9799000000000015,74.65180000000005,1,1,0,0,0,2,0,0,2,2,0,90
