PC_ID,PC_SMILES,PC_HOMO,PC_LUMO,PC_S1,PC_T1_v,Alc_ID,Alc_SMILES,Alc_HOMO,Alc_LUMO,Alc_BDFE,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,3.2591,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,3.2591,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,3.2591,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,45
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,3.2591,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,48
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,2
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,8
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,11
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,63
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,9
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,18
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,86
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,31
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,3.0346,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,23
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,0
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,4
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,29
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,17
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,50
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,53
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,12
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,3
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,24
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,13
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,14
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,30
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,11
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.54453036,-1.47782941,3.4134,2.9742,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,18
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,3
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,1
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,4
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,39
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,73
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,3
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,40
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,30
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.28901907,-0.37660024,3.9761,3.2929,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,2
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,3
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,7
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,51
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,72
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,7
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,24
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,50
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,1
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,33
PC5,O=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-9.22316845,-0.57605687,3.9726,3.2269,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,25
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,27
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,2
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,4
PC6,O=C(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,-8.50452594,-0.13904821,4.0845,3.2419,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,1
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,2
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,2
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,0
PC7,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,-7.38805861,0.0952385,4.0322,2.9983,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,1
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,1
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,4
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,3
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,7
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,5
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,37
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,0
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,2
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,5
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,1
PC8,O=C1C2=C(C=CC=C2)NC3=CC=CC=C31,-7.8748634,-0.36626006,3.8604,2.8861,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,7
