PC_ID,PC_SMILES,PC_lSOMO,PC_uSOMO,PC_S1,PC_T1_a,Alc_ID,Alc_SMILES,Alc_HOMO,Alc_LUMO,Alc_BDE,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,14
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,4
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,18
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,11
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,78
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,90
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,13
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,53
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,86
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,5
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,45
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.29881503,-6.40846261,3.7691,2.606,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,48
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,2
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,8
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,11
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,63
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,9
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,18
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,86
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,31
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.95105845,-5.39702974,3.8874,2.6368,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,23
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,0
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,4
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,29
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,17
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,50
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,53
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,12
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,3
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,24
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,13
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,14
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,30
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,11
PC3,O=C1C2=C(C=CC=C2)C(C3=CC=CC=C31)=O,-9.53582284,-6.74397424,3.4134,2.7445,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,18
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.46453002,-6.34887052,3.9761,2.5987,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,3
PC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,-9.46453002,-6.34887052,3.9761,2.5987,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,1
