PC_ID,PC_SMILES,PC_HOMO,PC_LUMO,PC_S1,PC_T1_a,PC_%Vbur35,Alc_ID,Alc_SMILES,Alc_HOMO,Alc_LUMO,Alc_BDE,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,14
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,4
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,18
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,11
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,78
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,90
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,-8.24683777,1.0149703,107.1841159,13
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,-8.17772183,1.02993635,110.2274909,53
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,-7.83976121,1.02803158,110.3090658,86
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,-8.64139727,1.03292956,111.8150659,5
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc11,OC(CC1=CC=CC=C1)C2=CC=C3C(C=CC=C3)=C2,-8.12765359,0.32353879,110.1333659,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc12,OC(CC1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=C2,-8.02670078,0.27891275,110.2902409,0
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc13,OC(CC1=CC=CC=C1)C2=CC(OCO3)=C3C=C2,-7.9864285,1.08381413,109.9953158,45
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,-9.22316845,-0.58857393,3.7691,2.606,61.6,Alc14,OC(CC1=CC=CC=C1)C2=CC=C3C(OCCO3)=C2,-8.04792536,1.06912019,110.6792909,48
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,2.6368,59.8,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,-8.93854139,0.12353794,110.2839659,2
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,2.6368,59.8,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,-8.90697663,1.05415414,110.1584658,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,2.6368,59.8,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,-8.36030764,0.54884587,110.1647408,1
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,2.6368,59.8,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,-8.66833616,1.06231744,110.0894409,8
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,2.6368,59.8,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,-8.23187172,1.04735139,110.4094658,11
PC2,O=C1C2=C(C=CC=C2)SC3=CC=CC=C31,-8.12683726,-0.62231557,3.8874,2.6368,59.8,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,-7.88792468,1.04517451,110.5224158,63
