PC_ID,PC_SMILES,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,Alc_ID,Alc_SMILES,alc1,alc2,alc3,alc4,alc5,alc6,alc7,alc8,alc9,alc10,alc11,alc12,alc13,alc14,Yield
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc1,OC(CC1=CC=CC=C1)C2=CC=C(C(OC)=O)C=C2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc2,OC(CC1=CC=CC=C1)C2=CC=CC=C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc3,OC(CC1=CC=CC=C1)C2=CC=C(C3=CC=CC=C3)C=C2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc4,OC(CC1=CC=CC=C1)C2=CC=C(C)C=C2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc5,OC(CC1=CC=CC=C1)C2=CC=C(OC)C=C2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc6,OC(CC1=CC=CC=C1)C2=CC=C(OC)C(OC)=C2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc7,OC(CC1=CC=CC=C1)C2=C(OC)C=CC=C2OC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc8,OC(CC1=CC=CC=C1)(C)C2=CC=C(OC)C=C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc9,OC(CC1=CC=CC=C1)(C)C2=CC(OC)=C(OC)C=C2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86
PC1,O=C1C2=C(C=CC=C2)[Si](C)(C)C3=CC=CC=C31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alc10,OC(CC1=CC=CC=C1)C2=CC=CS2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
